start,duration,value
2022-03-17T08:44:01+01:00,"[2,2]","[174,173]"
2022-03-17T08:44:04+01:00,[1],[171]
2022-03-17T08:44:08+01:00,[4],[170]
2022-03-17T08:44:10+01:00,"[2,2]","[170,169]"
2022-03-17T08:44:17+01:00,[5],[169]
2022-03-17T08:44:18+01:00,[1],[168]
2022-03-17T08:44:20+01:00,[2],[169]
2022-03-17T08:44:25+01:00,[5],[169]
2022-03-17T08:44:27+01:00,"[2,2,2,2]","[170,168,167,164]"
2022-03-17T08:44:34+01:00,"[1,1]","[164,162]"
2022-03-17T08:44:39+01:00,[4],[161]
2022-03-17T08:44:41+01:00,"[2,2]","[160,160]"
2022-03-17T08:44:44+01:00,"[1,1,1]","[159,160,158]"
2022-03-17T08:44:51+01:00,[5],[156]
2022-03-17T08:44:52+01:00,"[1,1]","[156,154]"
2022-03-17T08:45:00+01:00,[7],[154]
2022-03-17T08:45:02+01:00,"[2,2,2]","[155,154,155]"
2022-03-17T08:45:09+01:00,[3],[155]
2022-03-17T08:45:11+01:00,[2],[154]
2022-03-17T08:45:15+01:00,[4],[153]
2022-03-17T08:45:20+01:00,[5],[153]
2022-03-17T08:45:22+01:00,"[2,2,2,2,2]","[155,155,156,155,156]"
2022-03-17T08:45:31+01:00,"[1,1,1]","[155,156,154]"
2022-03-17T08:45:37+01:00,"[4,4]","[153,151]"
2022-03-17T08:45:42+01:00,[1],[153]
2022-03-17T08:45:44+01:00,"[2,2]","[153,152]"
2022-03-17T08:45:53+01:00,[7],[152]
2022-03-17T08:45:55+01:00,[2],[151]
2022-03-17T08:45:58+01:00,[3],[151]
2022-03-17T08:46:00+01:00,"[2,2,2,2]","[150,150,147,144]"
2022-03-17T08:46:07+01:00,"[1,1]","[143,139]"
2022-03-17T08:46:12+01:00,"[4,4]","[135,135]"
2022-03-17T08:46:18+01:00,[2],[134]
2022-03-17T08:46:22+01:00,"[4,4,4]","[133,133,131]"
2022-03-17T08:46:35+01:00,[5],[133]
2022-03-17T08:46:37+01:00,"[2,2,2,2,2,2,2,2]","[134,135,136,135,135,133,133,132]"
2022-03-17T08:46:55+01:00,[4],[131]
2022-03-17T08:47:00+01:00,[5],[131]
2022-03-17T08:47:01+01:00,"[1,1]","[132,131]"
2022-03-17T08:47:04+01:00,[2],[132]
2022-03-17T08:47:08+01:00,[4],[131]
2022-03-17T08:47:10+01:00,[2],[130]
2022-03-17T08:47:13+01:00,[3],[130]
2022-03-17T08:47:14+01:00,[1],[131]
2022-03-17T08:47:16+01:00,[2],[130]
2022-03-17T08:47:21+01:00,[5],[130]
2022-03-17T08:47:23+01:00,"[2,2,2]","[129,130,129]"
2022-03-17T08:47:31+01:00,[4],[129]
2022-03-17T08:47:33+01:00,[2],[130]
2022-03-17T08:47:36+01:00,[3],[130]
2022-03-17T08:47:37+01:00,[1],[131]
2022-03-17T08:47:39+01:00,[2],[130]
2022-03-17T08:47:40+01:00,[1],[131]
2022-03-17T08:47:42+01:00,[2],[130]
2022-03-17T08:47:45+01:00,[3],[131]
2022-03-17T08:47:46+01:00,[1],[130]
2022-03-17T08:47:48+01:00,[2],[131]
2022-03-17T08:47:52+01:00,[4],[131]
2022-03-17T08:47:55+01:00,[3],[133]
2022-03-17T08:47:57+01:00,[2],[132]
2022-03-17T08:48:01+01:00,[4],[132]
2022-03-17T08:48:03+01:00,"[2,2,2,2]","[133,133,131,131]"
2022-03-17T08:48:10+01:00,"[1,1]","[130,131]"
2022-03-17T08:48:15+01:00,[4],[129]
2022-03-17T08:48:20+01:00,[5],[129]
2022-03-17T08:48:21+01:00,[1],[130]
2022-03-17T08:48:23+01:00,[2],[129]
2022-03-17T08:48:26+01:00,[3],[129]
2022-03-17T08:48:28+01:00,[2],[130]
2022-03-17T08:48:31+01:00,[2],[130]
2022-03-17T08:48:39+01:00,[8],[130]
2022-03-17T08:48:41+01:00,[2],[129]
2022-03-17T08:48:45+01:00,[4],[129]
2022-03-17T08:48:46+01:00,[1],[130]
2022-03-17T08:48:48+01:00,[2],[129]
2022-03-17T08:48:52+01:00,"[2,2,4]","[130,124,132]"
2022-03-17T08:48:57+01:00,[3],[124]
2022-03-17T08:48:59+01:00,"[2,2,2]","[125,125,124]"
2022-03-17T08:49:04+01:00,[8],[132]
2022-03-17T08:49:06+01:00,"[2,5]","[131,124]"
2022-03-17T08:49:10+01:00,[4],[130]
2022-03-17T08:49:12+01:00,[2],[129]
2022-03-17T08:49:13+01:00,"[1,1,3]","[126,125,129]"
2022-03-17T08:49:17+01:00,"[2,4]","[125,127]"
2022-03-17T08:49:21+01:00,[4],[127]
2022-03-17T08:49:22+01:00,[3],[127]
2022-03-17T08:49:24+01:00,"[2,5]","[126,129]"
2022-03-17T08:49:27+01:00,[3],[128]
2022-03-17T08:49:28+01:00,"[1,1,2]","[127,128,131]"
2022-03-17T08:49:31+01:00,[2],[127]
2022-03-17T08:49:32+01:00,[2],[130]
2022-03-17T08:49:33+01:00,"[2,3]","[128,130]"
2022-03-17T08:49:37+01:00,"[2,2,2]","[129,128,126]"
2022-03-17T08:49:42+01:00,[9],[128]
2022-03-17T08:49:43+01:00,[1],[129]
2022-03-17T08:49:45+01:00,"[2,2]","[128,124]"
2022-03-17T08:49:50+01:00,[5],[128]
2022-03-17T08:49:51+01:00,"[1,1]","[127,128]"
2022-03-17T08:49:54+01:00,[2],[127]
2022-03-17T08:49:55+01:00,[1],[128]
2022-03-17T08:49:59+01:00,[4],[122]
2022-03-17T08:50:00+01:00,[5],[125]
2022-03-17T08:50:02+01:00,[2],[124]
2022-03-17T08:50:03+01:00,[1],[125]
2022-03-17T08:50:05+01:00,"[2,2]","[124,123]"
2022-03-17T08:50:08+01:00,"[1,2,2]","[124,123,120]"
2022-03-17T08:50:15+01:00,[4],[119]
2022-03-17T08:50:16+01:00,[1],[119]
2022-03-17T08:50:18+01:00,"[2,2,2]","[122,122,124]"
2022-03-17T08:50:25+01:00,[3],[129]
2022-03-17T08:50:27+01:00,[2],[130]
2022-03-17T08:50:31+01:00,"[4,4]","[135,136]"
2022-03-17T08:50:38+01:00,[3],[136]
2022-03-17T08:50:40+01:00,[2],[137]
2022-03-17T08:50:44+01:00,[4],[138]
2022-03-17T08:50:47+01:00,"[3,3]","[139,136]"
2022-03-17T08:50:52+01:00,"[2,2]","[136,137]"
2022-03-17T08:50:57+01:00,[3],[137]
2022-03-17T08:50:58+01:00,[1],[136]
2022-03-17T08:51:00+01:00,[2],[137]
2022-03-17T08:51:01+01:00,"[1,1]","[136,137]"
2022-03-17T08:51:04+01:00,[2],[135]
2022-03-17T08:51:11+01:00,"[1,1]","[88,86]"
2022-03-17T08:51:17+01:00,[5],[88]
2022-03-17T08:51:19+01:00,"[2,2,2,2]","[88,89,90,91]"
2022-03-17T08:51:30+01:00,[5],[93]
2022-03-17T08:51:32+01:00,[2],[94]
2022-03-17T08:51:36+01:00,[4],[97]
2022-03-17T08:51:38+01:00,[2],[98]
2022-03-17T08:51:39+01:00,"[1,1]","[99,102]"
2022-03-17T08:51:42+01:00,[2],[101]
2022-03-17T08:51:45+01:00,[3],[100]
2022-03-17T08:51:47+01:00,[2],[97]
2022-03-17T08:51:51+01:00,"[4,4]","[92,94]"
2022-03-17T08:51:58+01:00,[3],[94]
2022-03-17T08:52:00+01:00,"[2,2]","[93,93]"
2022-03-17T08:52:06+01:00,[4],[90]
2022-03-17T08:52:08+01:00,"[2,2,2]","[92,92,93]"
2022-03-17T08:52:13+01:00,"[1,1]","[92,93]"
2022-03-17T08:52:16+01:00,"[2,2,2]","[91,91,92]"
2022-03-17T08:52:24+01:00,[4],[93]
2022-03-17T08:52:26+01:00,[2],[93]
2022-03-17T08:52:30+01:00,"[4,4]","[90,88]"
2022-03-17T08:52:35+01:00,"[1,1]","[89,88]"
2022-03-17T08:52:38+01:00,[2],[90]
2022-03-17T08:52:39+01:00,[1],[93]
2022-03-17T08:52:41+01:00,"[2,2]","[94,95]"
2022-03-17T08:52:44+01:00,[1],[94]
2022-03-17T08:52:46+01:00,[2],[95]
2022-03-17T08:52:47+01:00,[1],[95]
2022-03-17T08:52:50+01:00,[3],[100]
2022-03-17T08:52:52+01:00,[2],[100]
2022-03-17T08:52:53+01:00,[1],[98]
2022-03-17T08:52:56+01:00,[3],[98]
2022-03-17T08:52:57+01:00,[1],[96]
2022-03-17T08:53:01+01:00,[4],[96]
2022-03-17T08:53:03+01:00,[2],[98]
2022-03-17T08:53:04+01:00,[1],[100]
2022-03-17T08:53:06+01:00,[2],[100]
2022-03-17T08:53:07+01:00,[1],[98]
2022-03-17T08:53:09+01:00,"[2,2,2,2]","[99,98,97,94]"
2022-03-17T08:53:16+01:00,[1],[94]
2022-03-17T08:53:20+01:00,[4],[102]
2022-03-17T08:53:22+01:00,[2],[104]
2022-03-17T08:53:26+01:00,[4],[105]
2022-03-17T08:53:28+01:00,"[2,2]","[104,105]"
2022-03-17T08:53:31+01:00,[1],[104]
2022-03-17T08:53:35+01:00,[4],[107]
2022-03-17T08:53:36+01:00,"[1,1]","[109,108]"
2022-03-17T08:53:39+01:00,[2],[112]
2022-03-17T08:53:42+01:00,[3],[116]
2022-03-17T08:53:44+01:00,[2],[117]
2022-03-17T08:53:45+01:00,[1],[118]
2022-03-17T08:53:47+01:00,[2],[117]
2022-03-17T08:53:53+01:00,[6],[120]
2022-03-17T08:53:55+01:00,"[2,2]","[119,120]"
2022-03-17T08:54:00+01:00,[3],[120]
2022-03-17T08:54:02+01:00,[2],[122]
2022-03-17T08:54:06+01:00,[4],[121]
2022-03-17T08:54:08+01:00,[2],[121]
2022-03-17T08:54:09+01:00,[1],[120]
2022-03-17T08:54:11+01:00,[1],[120]
2022-03-17T08:54:21+01:00,"[1,1,1,1,1,1]","[114,112,113,112,113,111]"
2022-03-17T08:54:28+01:00,"[2,2]","[110,109]"
2022-03-17T08:54:36+01:00,[6],[109]
2022-03-17T08:54:38+01:00,[2],[108]
2022-03-17T08:54:41+01:00,[3],[108]
2022-03-17T08:54:46+01:00,[5],[105]
2022-03-17T08:54:48+01:00,[2],[101]
2022-03-17T08:54:49+01:00,[1],[103]
2022-03-17T08:54:51+01:00,"[2,2,2,2]","[96,95,94,92]"
2022-03-17T08:55:01+01:00,[4],[91]
2022-03-17T08:55:03+01:00,[2],[92]
2022-03-17T08:55:06+01:00,[3],[92]
2022-03-17T08:55:08+01:00,[2],[93]
2022-03-17T08:55:11+01:00,[3],[93]
2022-03-17T08:55:13+01:00,[2],[95]
2022-03-17T08:55:16+01:00,[3],[95]
2022-03-17T08:55:18+01:00,"[2,2,2,2]","[96,95,95,97]"
2022-03-17T08:56:00+01:00,[92],[93]